concept_id,concept_name,domain_id,vocabulary_id,standard_concept
4069096,Lutembacher's syndrome,Condition,SNOMED,standard
4069182,Ebstein's anomaly,Condition,SNOMED,standard
4069183,Subaortic stenosis,Condition,SNOMED,standard
4069184,Infundibular pulmonic stenosis,Condition,SNOMED,standard
4070297,Pentalogy of Fallot,Condition,SNOMED,standard
4070916,Fallot's trilogy,Condition,SNOMED,standard
4078214,Rheumatic heart valve stenosis,Condition,SNOMED,standard
4081037,Isolated aortic stenosis,Condition,SNOMED,standard
4081039,Pulmonary hypertension with occult mitral stenosis,Condition,SNOMED,standard
4088260,Prosthetic valve sound,Condition,SNOMED,standard
4089254,Closing click of prosthetic valve,Condition,SNOMED,standard
4089367,Prosthetic valve sound muffled,Condition,SNOMED,standard
4095624,Opening click of prosthetic valve,Condition,SNOMED,standard
4100875,Congenital abnormality of atrioventricular valves in atrioventricular septal defect,Condition,SNOMED,standard
4101189,Left atrioventricular valve stenosis,Condition,SNOMED,standard
4101488,"Abnormality of atrioventricular (non-mitral, non-tricuspid) valve",Condition,SNOMED,standard
4101618,Tetralogy of Fallot with pulmonary stenosis,Condition,SNOMED,standard
4101619,Tetralogy of Fallot with atresia of pulmonary valve,Condition,SNOMED,standard
4101620,Ventricular septal defect in Fallot's tetralogy,Condition,SNOMED,standard
4102679,Cardiac valve prosthesis,Device,SNOMED,standard
4102992,Regurgitation of common atrioventricular valve,Condition,SNOMED,standard
4103131,Dextraposition of aorta in Fallot's tetralogy,Condition,SNOMED,standard
4103188,Tricuspid valve lesion,Condition,SNOMED,standard
4108085,Rheumatic tricuspid stenosis and insufficiency,Condition,SNOMED,standard
4108166,Paraprosthetic mitral regurgitation,Condition,SNOMED,standard
4108168,Rheumatic mitral valve leaflet changes,Condition,SNOMED,standard
4108170,Mitral valve annular calcification,Condition,SNOMED,standard
4108233,"Pulmonary stenosis, non-rheumatic",Condition,SNOMED,standard
4108587,Right ventricular fibromuscular infundibular stenosis,Condition,SNOMED,standard
4108595,Aortic stenosis with doming,Condition,SNOMED,standard
4108596,Aortic cusp regurgitation,Condition,SNOMED,standard
4108659,Mitral and aortic incompetence,Condition,SNOMED,standard
4108739,Peripheral pulmonary artery stenosis,Condition,SNOMED,standard
4108815,Non-rheumatic mitral regurgitation,Condition,SNOMED,standard
4108817,"Tricuspid valve disorder, non-rheumatic",Condition,SNOMED,standard
4108819,Pulmonary valve stenosis with insufficiency,Condition,SNOMED,standard
4109324,Preductal aortic stenosis,Condition,SNOMED,standard
4109340,Aortic valve cusp abnormality,Condition,SNOMED,standard
4109347,Localized supravalvar aortic stenosis,Condition,SNOMED,standard
4109463,Diffuse supravalvar aortic stenosis,Condition,SNOMED,standard
4110937,Non-rheumatic mitral valve stenosis,Condition,SNOMED,standard
4111098,"Aortic stenosis, non-rheumatic",Condition,SNOMED,standard
4111099,Aortic valve stenosis with insufficiency,Condition,SNOMED,standard
4111409,"Aortic incompetence, non-rheumatic",Condition,SNOMED,standard
4111412,"Tricuspid incompetence, non-rheumatic",Condition,SNOMED,standard
4111413,"Tricuspid stenosis, non-rheumatic",Condition,SNOMED,standard
4111414,Non-rheumatic tricuspid valve stenosis with insufficiency,Condition,SNOMED,standard
4111416,"Pulmonary incompetence, non-rheumatic",Condition,SNOMED,standard
4112094,Pulmonary trunk stenosis,Condition,SNOMED,standard
