concept_id,concept_name,domain_id,vocabulary_id,standard_concept
764848,Vertigo due to and following embolic cerebrovascular accident,Condition,SNOMED,standard
764849,Monoplegia of lower limb due to and following embolic cerebrovascular accident,Condition,SNOMED,standard
764850,Monoplegia of nondominant upper limb due to and following embolic cerebrovascular accident,Condition,SNOMED,standard
764851,Monoplegia of dominant upper limb due to and following embolic cerebrovascular accident,Condition,SNOMED,standard
764852,Monoplegia of upper limb due to and following embolic cerebrovascular accident,Condition,SNOMED,standard
764853,Hemiplegia of dominant side due to and following embolic cerebrovascular accident,Condition,SNOMED,standard
765515,Cerebral infarction due to basilar artery stenosis,Condition,SNOMED,standard
765518,Monoplegia of dominant lower limb due to and following ischemic cerebrovascular accident,Condition,SNOMED,standard
765907,Occlusion and stenosis of middle cerebral artery with infarction,Condition,SNOMED,standard
1076484,Iatrogenic ischemic cerebral infarction,Condition,SNOMED,standard
1245872,Cerebrovascular accident due to occlusion of bilateral posterior communicating arteries,Condition,SNOMED,standard
3655974,Occlusion of branch of basilar artery,Condition,SNOMED,standard
4006294,Basilar artery embolism,Condition,SNOMED,standard
4031045,Anterior choroidal artery syndrome,Condition,SNOMED,standard
4043731,Infarction - precerebral,Condition,SNOMED,standard
4045734,CVA - cerebrovascular accident due to cerebral artery occlusion,Condition,SNOMED,standard
4045735,Anterior cerebral circulation infarction,Condition,SNOMED,standard
4045736,Posterior cerebral circulation infarction,Condition,SNOMED,standard
4045737,Pure motor lacunar infarction,Condition,SNOMED,standard
4045738,Pure sensory lacunar infarction,Condition,SNOMED,standard
4045740,Lacunar ataxic hemiparesis,Condition,SNOMED,standard
4045741,Dysarthria-clumsy hand syndrome,Condition,SNOMED,standard
4045747,Anterior circulation stroke of uncertain pathology,Condition,SNOMED,standard
4045748,Posterior circulation stroke of uncertain pathology,Condition,SNOMED,standard
4046358,Total anterior cerebral circulation infarction,Condition,SNOMED,standard
4046359,Partial anterior cerebral circulation infarction,Condition,SNOMED,standard
4046360,Lacunar infarction,Condition,SNOMED,standard
4046361,Pure sensorimotor lacunar infarction,Condition,SNOMED,standard
4046363,Stroke of uncertain pathology,Condition,SNOMED,standard
4077086,Occipital cerebral infarction,Condition,SNOMED,standard
4078314,Foville syndrome,Condition,SNOMED,standard
4078315,Top of basilar syndrome,Condition,SNOMED,standard
4108356,Cerebral infarction due to embolism of cerebral arteries,Condition,SNOMED,standard
4110189,Cerebral infarct due to thrombosis of precerebral arteries,Condition,SNOMED,standard
4110190,Cerebral infarction due to embolism of precerebral arteries,Condition,SNOMED,standard
4110192,Cerebral infarction due to thrombosis of cerebral arteries,Condition,SNOMED,standard
4110194,Middle cerebral artery syndrome,Condition,SNOMED,standard
4111710,Brainstem stroke syndrome,Condition,SNOMED,standard
4111711,Cerebellar stroke syndrome,Condition,SNOMED,standard
4111714,"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic",Condition,SNOMED,standard
4111717,Occlusion and stenosis of posterior cerebral artery,Condition,SNOMED,standard
4112023,Occlusion and stenosis of middle cerebral artery,Condition,SNOMED,standard
4119140,Infarction of visual cortex,Condition,SNOMED,standard
4131383,Infarction of basal ganglia,Condition,SNOMED,standard
4138327,Acute lacunar infarction,Condition,SNOMED,standard
4141405,Left sided cerebral infarction,Condition,SNOMED,standard
4141661,Infarction of medulla oblongata,Condition,SNOMED,standard
4142739,Thalamic infarction,Condition,SNOMED,standard
4145355,Bilateral carotid artery occlusion,Condition,SNOMED,standard
4146185,Right sided cerebral infarction,Condition,SNOMED,standard
4153352,Embolic stroke,Condition,SNOMED,standard
4159140,Thrombotic stroke,Condition,SNOMED,standard
4159152,Neonatal stroke,Condition,SNOMED,standard
4189462,Occlusive stroke,Condition,SNOMED,standard
4211509,Cardioembolic stroke,Condition,SNOMED,standard
4216520,Lacunar infarct,Observation,SNOMED,standard
4301259,Posterior inferior cerebellar artery syndrome,Condition,SNOMED,standard
4310996,Ischemic stroke,Condition,SNOMED,standard
4316224,Brain stem infarction,Condition,SNOMED,standard
4317291,Cerebellar artery occlusion,Condition,SNOMED,standard
4319331,Cerebellar infarction,Condition,SNOMED,standard
4338227,Basilar artery thrombosis,Condition,SNOMED,standard
35610084,Cerebral infarction due to occlusion of cerebral artery,Condition,SNOMED,non-standard
35610085,Cerebral infarction due to stenosis of cerebral artery,Condition,SNOMED,standard
36685002,Dysarthria due to and following ischemic cerebrovascular accident,Condition,SNOMED,standard
36685003,Aphasia due to and following ischemic cerebrovascular accident,Condition,SNOMED,standard
36685004,Ataxia due to and following ischemic cerebrovascular accident,Condition,SNOMED,standard
36685011,Dysarthria due to and following embolic cerebrovascular accident,Condition,SNOMED,standard
36685012,Aphasia due to and following embolic cerebrovascular accident,Condition,SNOMED,standard
36716757,Perinatal arterial ischemic stroke of fetus and/or neonate,Condition,SNOMED,standard
36716999,Cerebellar stroke,Condition,SNOMED,standard
37110237,Cerebral ischemic stroke due to small artery occlusion,Condition,SNOMED,standard
37110238,Cerebral ischemic stroke due to intracranial large artery atherosclerosis,Condition,SNOMED,standard
37110239,Cerebral ischemic stroke due to extracranial large artery atherosclerosis,Condition,SNOMED,standard
37110678,Cerebral ischemic stroke due to occlusion of extracranial large artery,Condition,SNOMED,standard
37110679,Cerebral ischemic stroke due to stenosis of extracranial large artery,Condition,SNOMED,standard
37110765,Ischemic stroke without residual deficits,Condition,SNOMED,standard
37116473,Multifocal cerebral infarction due to and following procedure on cardiovascular system,Condition,SNOMED,standard
37162743,Pediatric arterial ischemic stroke,Condition,SNOMED,standard
37164462,Malignant middle cerebral artery syndrome,Condition,SNOMED,standard
37167963,Cerebrovascular accident due to thrombosis of anterior cerebral artery,Condition,SNOMED,standard
37167964,Thrombosis of anterior cerebral artery,Condition,SNOMED,standard
37167965,Thrombosis of left anterior cerebral artery,Condition,SNOMED,standard
37167969,Bilateral thrombosis of carotid arteries,Condition,SNOMED,standard
